url,page_type,word_count,last_modified,http_status,canonical,disposition,action,status
https://everlasting-goods.com,static,531,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com,retain_verify_static,retain if no unsupported claim is found,audited
https://everlasting-goods.com/best-bifl-products,hub,2152,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com/best-bifl-products,reposition_to_database,replace legacy article/product claims with database-driven verified content,correction_required
https://everlasting-goods.com/blog,hub,2257,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com/blog,reposition_to_database,replace legacy article/product claims with database-driven verified content,correction_required
https://everlasting-goods.com/products,hub_product_directory,566,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com/products,reposition_to_database,replace legacy article/product claims with database-driven verified content,correction_required
https://everlasting-goods.com/about,static,504,2026-08-25T12:55:11.849Z,200,,retain_verify_static,retain if no unsupported claim is found,audited
https://everlasting-goods.com/methodology,static,397,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com/methodology,retain_verify_static,retain if no unsupported claim is found,audited
https://everlasting-goods.com/articles/best-thermal-shock-resistant-glass-drink-dispensers-that-hold-up,article,1508,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-thermal-shock-resistant-glass-drink-dispensers-that-hold-up,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-reclining-couches-that-actually-last,article,1433,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-reclining-couches-that-actually-last,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-watches-to-mark-a-major-milestone,article,1369,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-watches-to-mark-a-major-milestone,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-buy-it-for-life-japan-picks,article,1302,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-buy-it-for-life-japan-picks,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-e-readers-that-actually-last,article,1253,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-e-readers-that-actually-last,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-peelers-that-last-for-years,article,1160,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-peelers-that-last-for-years,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-bifl-gifts-for-children-that-last,article,1229,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-bifl-gifts-for-children-that-last,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-estwing-hammers-that-last-a-lifetime,article,982,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-estwing-hammers-that-last-a-lifetime,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-faucet-brands-that-actually-last,article,898,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-faucet-brands-that-actually-last,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-cast-iron-skillets-that-last-forever,article,1192,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-cast-iron-skillets-that-last-forever,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-buy-it-for-life-backpacks,article,923,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-buy-it-for-life-backpacks,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-kitchen-knives-that-last-a-lifetime,article,1108,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-kitchen-knives-that-last-a-lifetime,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-leather-boots-that-last-20-years,article,1173,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-leather-boots-that-last-20-years,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-edc-flashlights-that-last-forever,article,1103,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-edc-flashlights-that-last-forever,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-dutch-ovens-that-last-forever,article,1270,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-dutch-ovens-that-last-forever,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-mechanical-watches-that-last-a-lifetime,article,1280,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-mechanical-watches-that-last-a-lifetime,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-woodworking-hand-tools-that-last-forever,article,1408,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-woodworking-hand-tools-that-last-forever,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-lodge-cast-iron-pieces-the-complete-collection-guide,article,1178,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-lodge-cast-iron-pieces-the-complete-collection-guide,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-bifl-wallets-for-men-leather-wallets-that-age-beautifully,article,1618,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-bifl-wallets-for-men-leather-wallets-that-age-beautifully,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-buy-it-for-life-rain-jackets,article,1659,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-buy-it-for-life-rain-jackets,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-stainless-steel-water-bottles-that-last-forever,article,1086,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-stainless-steel-water-bottles-that-last-forever,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-buy-it-for-life-gifts-under-50-quality-picks-that-last,article,1189,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-buy-it-for-life-gifts-under-50-quality-picks-that-last,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-red-wing-boots-a-complete-buyer-s-guide,article,1282,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-red-wing-boots-a-complete-buyer-s-guide,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-buy-it-for-life-chef-s-knives-professional-picks,article,1317,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-buy-it-for-life-chef-s-knives-professional-picks,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-buy-it-for-life-bifl-everyday-carry-pens-pens-that-last-a-lifetime,article,1121,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-buy-it-for-life-bifl-everyday-carry-pens-pens-that-last-a-lifetime,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-safety-razors-that-last-a-lifetime,article,1051,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-safety-razors-that-last-a-lifetime,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-stand-mixers-that-last-20-years,article,2056,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-stand-mixers-that-last-20-years,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-buy-it-for-life-denim-jeans,article,1935,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-buy-it-for-life-denim-jeans,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-leather-belts-that-last-a-lifetime,article,1861,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-leather-belts-that-last-a-lifetime,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-bifl-wool-blankets-and-throws,article,2427,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-bifl-wool-blankets-and-throws,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-bifl-pocket-knives-for-everyday-carry,article,2297,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-bifl-pocket-knives-for-everyday-carry,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-merino-wool-base-layers-that-last,article,2534,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-merino-wool-base-layers-that-last,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-bifl-garden-tools-that-last-decades,article,2587,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-bifl-garden-tools-that-last-decades,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
https://everlasting-goods.com/articles/best-darn-tough-socks-the-only-socks-with-a-lifetime-guarantee,article,1742,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-darn-tough-socks-the-only-socks-with-a-lifetime-guarantee,quarantine_pending_evidence,replace visible legacy prose with evidence-review notice,correction_required
