url,affiliate_links,disclosure_present,disclosure_before_first_link,action,status
https://everlasting-goods.com,0,False,True,retain standard component,pass
https://everlasting-goods.com/best-bifl-products,0,False,True,retain standard component,pass
https://everlasting-goods.com/blog,0,False,True,retain standard component,pass
https://everlasting-goods.com/products,6,True,True,retain standard component,pass
https://everlasting-goods.com/about,0,False,True,retain standard component,pass
https://everlasting-goods.com/methodology,0,False,True,retain standard component,pass
https://everlasting-goods.com/articles/best-thermal-shock-resistant-glass-drink-dispensers-that-hold-up,7,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-reclining-couches-that-actually-last,7,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-watches-to-mark-a-major-milestone,10,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-japan-picks,13,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-e-readers-that-actually-last,9,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-peelers-that-last-for-years,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-gifts-for-children-that-last,5,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-estwing-hammers-that-last-a-lifetime,5,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-faucet-brands-that-actually-last,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-cast-iron-skillets-that-last-forever,9,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-backpacks,15,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-kitchen-knives-that-last-a-lifetime,7,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-leather-boots-that-last-20-years,17,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-edc-flashlights-that-last-forever,10,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-dutch-ovens-that-last-forever,12,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-mechanical-watches-that-last-a-lifetime,13,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-woodworking-hand-tools-that-last-forever,21,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-lodge-cast-iron-pieces-the-complete-collection-guide,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-wallets-for-men-leather-wallets-that-age-beautifully,7,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-rain-jackets,10,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-stainless-steel-water-bottles-that-last-forever,13,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-gifts-under-50-quality-picks-that-last,17,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-red-wing-boots-a-complete-buyer-s-guide,28,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-chef-s-knives-professional-picks,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-bifl-everyday-carry-pens-pens-that-last-a-lifetime,12,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-safety-razors-that-last-a-lifetime,4,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-stand-mixers-that-last-20-years,11,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-denim-jeans,11,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-leather-belts-that-last-a-lifetime,11,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-wool-blankets-and-throws,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-pocket-knives-for-everyday-carry,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-merino-wool-base-layers-that-last,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-garden-tools-that-last-decades,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-darn-tough-socks-the-only-socks-with-a-lifetime-guarantee,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-umbrellas,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-unsexy-quality-of-life-upgrades-that-are-worth-every-penny,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-milestone-watches-for-life-events,10,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-office-chairs-that-actually-last,10,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-vacuum-cleaners-that-last-20-years,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-coffee-grinders,4,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-dive-watches-that-last-a-lifetime,7,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-food-storage-containers,4,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-tool-sets-for-home-repair,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-travel-luggage-and-suitcases,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-watches-under-500,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-stainless-steel-pots-that-last-forever,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-bifl-sandals-that-actually-last,4,True,True,retain standard component,pass
