url,page_type,word_count,last_modified,http_status,canonical,disposition,action,status
https://everlasting-goods.com,static,531,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com,rewritten_or_retained,static policy surface reviewed and rewritten where needed,applied_pending_deploy
https://everlasting-goods.com/best-bifl-products,hub,2152,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com/best-bifl-products,repositioned,legacy discovery content replaced by generated database records or audit-transition notice,applied_pending_deploy
https://everlasting-goods.com/blog,hub,2257,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com/blog,repositioned,legacy discovery content replaced by generated database records or audit-transition notice,applied_pending_deploy
https://everlasting-goods.com/products,hub_product_directory,566,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com/products,repositioned,legacy discovery content replaced by generated database records or audit-transition notice,applied_pending_deploy
https://everlasting-goods.com/about,static,504,2026-08-25T12:55:11.849Z,200,,rewritten_or_retained,static policy surface reviewed and rewritten where needed,applied_pending_deploy
https://everlasting-goods.com/methodology,static,397,2026-08-25T12:55:11.849Z,200,https://everlasting-goods.com/methodology,rewritten_or_retained,static policy surface reviewed and rewritten where needed,applied_pending_deploy
https://everlasting-goods.com/articles/best-thermal-shock-resistant-glass-drink-dispensers-that-hold-up,article,1508,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-thermal-shock-resistant-glass-drink-dispensers-that-hold-up,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-reclining-couches-that-actually-last,article,1433,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-reclining-couches-that-actually-last,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-watches-to-mark-a-major-milestone,article,1369,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-watches-to-mark-a-major-milestone,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-buy-it-for-life-japan-picks,article,1302,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-buy-it-for-life-japan-picks,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-e-readers-that-actually-last,article,1253,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-e-readers-that-actually-last,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-peelers-that-last-for-years,article,1160,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-peelers-that-last-for-years,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-bifl-gifts-for-children-that-last,article,1229,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-bifl-gifts-for-children-that-last,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-estwing-hammers-that-last-a-lifetime,article,982,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-estwing-hammers-that-last-a-lifetime,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-faucet-brands-that-actually-last,article,898,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-faucet-brands-that-actually-last,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-cast-iron-skillets-that-last-forever,article,1192,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-cast-iron-skillets-that-last-forever,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-buy-it-for-life-backpacks,article,923,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-buy-it-for-life-backpacks,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-kitchen-knives-that-last-a-lifetime,article,1108,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-kitchen-knives-that-last-a-lifetime,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-leather-boots-that-last-20-years,article,1173,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-leather-boots-that-last-20-years,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-edc-flashlights-that-last-forever,article,1103,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-edc-flashlights-that-last-forever,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-dutch-ovens-that-last-forever,article,1270,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-dutch-ovens-that-last-forever,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-mechanical-watches-that-last-a-lifetime,article,1280,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-mechanical-watches-that-last-a-lifetime,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-woodworking-hand-tools-that-last-forever,article,1408,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-woodworking-hand-tools-that-last-forever,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
https://everlasting-goods.com/articles/best-lodge-cast-iron-pieces-the-complete-collection-guide,article,1178,2026-08-24T00:00:00.000Z,200,https://everlasting-goods.com/articles/best-lodge-cast-iron-pieces-the-complete-collection-guide,quarantined,"legacy prose, affiliate links, excerpts, and recommendations replaced by noindex evidence-review notice",applied_pending_deploy
